Link,Car Name,Price,City,Registered In,Mileage,Fuel Type,Engine,Transmission
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Honda City 5th (GM2) Generation 2015 1.3 i-VTEC for Sale,PKR 33.75lacs,Islamabad,2015,"88,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Honda City 5th (GM2) Generation 2018 1.3 i-VTEC Prosmatec for Sale,PKR 36.6lacs,Lahore,2018,"150,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Honda City  2019 1.3 i-VTEC Prosmatec for Sale,PKR 37.25lacs,Lahore,2019,"80,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Honda City  2005 i-DSI for Sale,PKR 15.95lacs,Islamabad,2005,"100,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Suzuki Swift  2017 DLX 1.3 for Sale,PKR 19.99lacs,Karachi,2017,"82,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 25lacs,Islamabad,2010,"148,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2019 1.3 i-VTEC Prosmatec for Sale,PKR 37.5lacs,Karachi,2019,"79,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2009 XLi VVTi for Sale,PKR 20.9lacs,Karachi,2009,"92,321 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City  2009 1.3 i-VTEC Prosmatec for Sale,PKR 23.75lacs,Karachi,2009,"92,321 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Yaris Sedan  2025 GLI CVT 1.3 for Sale,PKR 50.9lacs,Islamabad,2025,47 km,Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 23lacs,Karachi,2010,"152,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Yaris Sedan  2022 ATIV CVT 1.3 for Sale,PKR 45.25lacs,Islamabad,2022,"75,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Belta  2005 X S Package 1.3 for Sale,PKR 22lacs,Karachi,2005,"106,600 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2013 GLi 1.3 VVTi for Sale,PKR 27.3lacs,Islamabad,2013,"150,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Suzuki Swift  2017 DLX Automatic 1.3 Navigation for Sale,PKR 27.5lacs,Islamabad,2017,"85,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2011 1.3 i-VTEC Prosmatec for Sale,PKR 29.75lacs,Islamabad,2011,"180,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2016 XLi VVTi for Sale,PKR 33.75lacs,Karachi,2016,"82,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,PKR 36.45lacs,Islamabad,2018,"70,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2016 Aspire Prosmatec 1.3 i-VTEC for Sale,PKR 30.4lacs,Islamabad,2016,"171,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Suzuki Swift  2011 DLX 1.3 for Sale,PKR 16.75lacs,Karachi,2011,"148,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2019 1.3 i-VTEC for Sale,PKR 41lacs,Lahore,2019,"17,500 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,KIA Pride  1998 1.3 for Sale,PKR 5.15lacs,Karachi,1998,"10,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2016 Aspire 1.3 i-VTEC for Sale,PKR 33.5lacs,Lahore,2016,"150,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Yaris Sedan  2023 ATIV CVT 1.3 for Sale,PKR 45.75lacs,Karachi,2023,"39,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2018 GLi Automatic 1.3 VVTi for Sale,PKR 43.5lacs,Karachi,2018,"68,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2019 1.3 i-VTEC Prosmatec for Sale,PKR 39.5lacs,Lahore,2019,"51,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City  2007 i-DSI for Sale,PKR 19.5lacs,Karachi,2007,"81,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2011 XLi VVTi for Sale,PKR 26lacs,Karachi,2011,"79,346 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2019 GLi Automatic 1.3 VVTi for Sale,PKR 41.8lacs,Karachi,2019,"67,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Suzuki Swift  2015 DLX 1.3 for Sale,PKR 20lacs,Karachi,2015,"78,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Proton Saga  2022 1.3L Ace A/T for Sale,PKR 31lacs,Karachi,2022,"11,500 km",Petrol,1299 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City  2006 i-DSI for Sale,PKR 18.75lacs,Lahore,2006,"145,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2008 GLi 1.3 for Sale,PKR 21.5lacs,Lahore,2008,"208,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City  2007 i-DSI for Sale,PKR 20.9lacs,Lahore,2007,"205,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2012 1.3 i-VTEC Prosmatec for Sale,PKR 26.5lacs,Karachi,2012,"104,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2013 1.3 i-VTEC for Sale,PKR 27.8lacs,Lahore,2013,"149,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Suzuki Swift  2015 DLX 1.3 for Sale,PKR 22.5lacs,Karachi,2015,"185,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2015 GLi Automatic 1.3 VVTi for Sale,PKR 35.9lacs,Islamabad,2015,"140,000 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2012 XLi VVTi for Sale,PKR 29lacs,Islamabad,2012,"165,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Suzuki Swift  2011 DLX 1.3 for Sale,PKR 18.5lacs,Islamabad,2011,"9,000 km",Petrol,1300 cc,Manual
