link,car_name,price,city,registered_in,mileage,fuel_type,engine,transmission,car_brand,car_model,extracted_engine,car_brand_encoded,car_model_encoded,city_encoded,fuel_type_encoded,transmission_encoded
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Toyota Yaris Sedan  2020 GLI CVT 1.3 for Sale,3970000.0000000005,islamabad,2020,117000,petrol,1300.0,automatic,toyota,yaris,1300.0,10,18,0,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,2550000.0,lahore,2010,255000,petrol,1300.0,manual,toyota,corolla,1300.0,10,6,2,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Honda City 5th (GM2) Generation 2015 1.3 i-VTEC for Sale,3375000.0,islamabad,2015,88000,petrol,1300.0,manual,honda,city,1300.0,2,4,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Honda City 5th (GM2) Generation 2018 1.3 i-VTEC Prosmatec for Sale,3660000.0,lahore,2018,150000,petrol,1300.0,automatic,honda,city,1300.0,2,4,2,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Honda City  2019 1.3 i-VTEC Prosmatec for Sale,3725000.0,lahore,2019,80000,petrol,1300.0,automatic,honda,city,1300.0,2,4,2,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Honda City  2005 i-DSI for Sale,1595000.0,islamabad,2005,100000,petrol,1300.0,manual,honda,city,,2,4,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Suzuki Swift  2017 DLX 1.3 for Sale,1998999.9999999998,karachi,2017,82000,petrol,1300.0,manual,suzuki,swift,1300.0,9,14,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=1,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,2500000.0,islamabad,2010,148000,petrol,1300.0,manual,toyota,corolla,1300.0,10,6,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2019 1.3 i-VTEC Prosmatec for Sale,3750000.0,karachi,2019,79000,petrol,1300.0,automatic,honda,city,1300.0,2,4,1,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2009 XLi VVTi for Sale,2089999.9999999998,karachi,2009,92321,petrol,1300.0,manual,toyota,corolla,,10,6,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City  2009 1.3 i-VTEC Prosmatec for Sale,2375000.0,karachi,2009,92321,petrol,1300.0,automatic,honda,city,1300.0,2,4,1,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Yaris Sedan  2025 GLI CVT 1.3 for Sale,5090000.0,islamabad,2025,47,petrol,1300.0,automatic,toyota,yaris,1300.0,10,18,0,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,2300000.0,karachi,2010,152000,petrol,1300.0,manual,toyota,corolla,1300.0,10,6,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Yaris Sedan  2022 ATIV CVT 1.3 for Sale,4525000.0,islamabad,2022,75000,petrol,1300.0,automatic,toyota,yaris,1300.0,10,18,0,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Belta  2005 X S Package 1.3 for Sale,2200000.0,karachi,2005,106600,petrol,1300.0,automatic,toyota,unknown,1300.0,10,16,1,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2013 GLi 1.3 VVTi for Sale,2730000.0,islamabad,2013,150000,petrol,1300.0,manual,toyota,corolla,1300.0,10,6,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Suzuki Swift  2017 DLX Automatic 1.3 Navigation for Sale,2750000.0,islamabad,2017,85000,petrol,1300.0,automatic,suzuki,swift,1300.0,9,14,0,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2011 1.3 i-VTEC Prosmatec for Sale,2975000.0,islamabad,2011,180000,petrol,1300.0,automatic,honda,city,1300.0,2,4,0,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2016 XLi VVTi for Sale,3375000.0,karachi,2016,82000,petrol,1300.0,manual,toyota,corolla,,10,6,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,3645000.0000000005,islamabad,2018,70000,petrol,1300.0,manual,honda,city,1300.0,2,4,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2016 Aspire Prosmatec 1.3 i-VTEC for Sale,3040000.0,islamabad,2016,171000,petrol,1300.0,automatic,honda,city,1300.0,2,4,0,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Suzuki Swift  2011 DLX 1.3 for Sale,1675000.0,karachi,2011,148000,petrol,1300.0,manual,suzuki,swift,1300.0,9,14,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2019 1.3 i-VTEC for Sale,4100000.0,lahore,2019,17500,petrol,1300.0,manual,honda,city,1300.0,2,4,2,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,KIA Pride  1998 1.3 for Sale,515000.00000000006,karachi,1998,10000,petrol,1300.0,automatic,kia,unknown,1300.0,4,16,1,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2016 Aspire 1.3 i-VTEC for Sale,3350000.0,lahore,2016,150000,petrol,1300.0,manual,honda,city,1300.0,2,4,2,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Yaris Sedan  2023 ATIV CVT 1.3 for Sale,4575000.0,karachi,2023,39000,petrol,1300.0,automatic,toyota,yaris,1300.0,10,18,1,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2018 GLi Automatic 1.3 VVTi for Sale,4350000.0,karachi,2018,68000,petrol,1300.0,automatic,toyota,corolla,1300.0,10,6,1,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2019 1.3 i-VTEC Prosmatec for Sale,3950000.0,lahore,2019,51000,petrol,1300.0,automatic,honda,city,1300.0,2,4,2,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City  2007 i-DSI for Sale,1950000.0,karachi,2007,81000,petrol,1300.0,manual,honda,city,,2,4,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2011 XLi VVTi for Sale,2600000.0,karachi,2011,79346,petrol,1300.0,manual,toyota,corolla,,10,6,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2019 GLi Automatic 1.3 VVTi for Sale,4179999.9999999995,karachi,2019,67000,petrol,1300.0,automatic,toyota,corolla,1300.0,10,6,1,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Suzuki Swift  2015 DLX 1.3 for Sale,2000000.0,karachi,2015,78000,petrol,1300.0,manual,suzuki,swift,1300.0,9,14,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Proton Saga  2022 1.3L Ace A/T for Sale,3100000.0,karachi,2022,11500,petrol,1299.0,automatic,proton,saga,1300.0,8,13,1,4,0
